conversation_num,mean_pre_discussion_error,mean_post_discussion_error,mean_pre_discussion_error_pct,mean_post_discussion_error_pct,median_pre_discussion_error,median_post_discussion_error,median_pre_discussion_error_pct,median_post_discussion_error_pct,speaker_nickname,question,message
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,26671,building,no clue 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,29541,building,its the building in the uae 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,33524,building,ok the burj tower in dubai is the talles 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,29541,building,yep 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,34691,building,room heights are usually around 10ft 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,34682,building,burj kalifia 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,31607,building,i figured 600 stories is 6000 feet 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,34700,building,"dubai, yes "
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,33524,building,it is either ikm or i mile long 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,29541,building,5k = 3 miles 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,34700,building,"5,280 ft = 1 mile "
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,34700,building,a mile tall building? 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,34700,building,maybe half a mile 
1,3325.8902777777776,2188.125,1.2214066389194924,0.8035714285714286,1577,923,0.5791406536907823,0.33896437752478886,34682,building,i think so 
