conversation_num,mean_pre_discussion_error,mean_post_discussion_error,mean_pre_discussion_error_pct,mean_post_discussion_error_pct,median_pre_discussion_error,median_post_discussion_error,median_pre_discussion_error_pct,median_post_discussion_error_pct,speaker_nickname,question,chatrooms,trial_indx,message
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,358,headphones,1,1,They want to see if our answers influence each other
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1142,headphones,1,1,"I think i'll stick to my answer, unless someone can point to any reason to change it."
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1668,headphones,1,1,"I think so too, [name]."
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1668,headphones,1,1,"[name], I too added only the ""additional"" so I will make sure I put in the 180,000"
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,240,headphones,1,1,"Great question [name], I answered as if it were additional. From what I see in this conversation I was definitely wrong."
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,61,headphones,1,1,"that's what came to my mind too, [name]."
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,61,headphones,1,1,hiii
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1668,headphones,1,1,Hello
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1142,headphones,1,1,hello
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1641,headphones,1,1,Hey
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1394,headphones,1,1,HEY THERE
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,793,headphones,1,1,hi
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1250,headphones,1,1,How much do you think they ended up getting?
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,206,headphones,1,1,Hello
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1426,headphones,1,1,Hi
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,536,headphones,1,1,hey
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,358,headphones,1,1,Hi
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,240,headphones,1,1,hi
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,225,headphones,1,1,hello
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,835,headphones,1,1,Hello
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1142,headphones,1,1,How are we supposed to guess?
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1430,headphones,1,1,sup
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1426,headphones,1,1,25000
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,61,headphones,1,1,"150,000"
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,793,headphones,1,1,200000
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,514,headphones,1,1,"I put in a pure guess if 150k, idk"
22u5YpwA485h5dMwh1,70402.38095238095,45544.84848484849,0.49311746832234327,0.31900853460004547,62770,17770,0.43965819149681307,0.1244659242137704,1668,headphones,1,1,I was going to guess an additional 80000 so 180000
