,feature,r2,mae,mse,rmse
590,average_user_sum_verbs,0.07958000000000001,0.83635,0.9249499999999999,0.9616999999999999
684,min_user_sum_positivity_zscore_chats,0.07837000000000001,0.8337300000000001,0.92621,0.96233
593,max_user_sum_verbs,0.07250999999999999,0.8444100000000001,0.9320999999999999,0.96541
291,average_positivity_zscore_chats,0.06761,0.8389300000000001,0.9370199999999999,0.96792
3,average_positive_bert,0.06761,0.8389300000000001,0.9370199999999999,0.96792
298,max_positivity_zscore_conversation,0.06734,0.8430899999999999,0.9373000000000001,0.96806
546,average_user_sum_social,0.06601000000000001,0.8447100000000001,0.9386099999999999,0.96879
4,stdev_positive_bert,0.06595999999999999,0.83884,0.9386699999999999,0.9687700000000001
292,stdev_positivity_zscore_chats,0.06595999999999999,0.83884,0.9386699999999999,0.9687700000000001
706,average_user_sum_hashedge,0.06265000000000001,0.8460799999999999,0.9420300000000001,0.9705299999999999
