,feature,r2,mae,mse,rmse
1121,max_user_avg_1st_person_start,0.14270000000000002,0.6509111111111111,0.9161666666666667,0.955511111111111
350,max_1st_person_start,0.12461,0.61167,0.9088900000000001,0.95021
330,max_deference,0.0781375,0.644375,1.0205,1.008775
457,max_user_sum_adverbs,0.0700875,0.6571374999999999,1.0296124999999998,1.0131875
328,stdev_deference,0.0694,0.65585,1.029825,1.01345
251,average_hedge_words,0.06624,0.6511399999999999,0.96846,0.9813899999999999
268,stdev_first_pronouns_proportion,0.061770000000000005,0.6773600000000001,0.9712400000000001,0.9831899999999999
348,stdev_1st_person_start,0.05985,0.65889,0.9743699999999998,0.9845399999999997
252,stdev_hedge_words,0.057109999999999994,0.65382,0.9783799999999999,0.9862800000000002
455,stdev_user_sum_adverbs,0.0570875,0.6570125,1.04365,1.0201875
