,feature,r2,mae,mse,rmse
697,max_user_sum_time_diff,0.15297,0.69042,0.8252200000000001,0.9078800000000001
413,max_user_sum_num_chars,0.15114,0.6774,0.8270799999999999,0.9088900000000001
409,max_user_sum_num_words,0.15033000000000002,0.68115,0.82782,0.90929
654,average_user_sum_word_TTR,0.14787,0.6922699999999999,0.8298399999999999,0.9104899999999999
533,max_user_sum_relative,0.14692,0.6858000000000001,0.8312799999999999,0.9111600000000001
414,average_user_sum_num_messages,0.14651,0.69297,0.83119,0.91124
521,max_user_sum_present_tense,0.14531,0.69387,0.8323699999999998,0.9118799999999998
641,max_user_sum_nltk_english_stopwords,0.14139,0.68938,0.8365500000000001,0.9140599999999999
402,average_user_sum_neutral_bert,0.14093,0.68656,0.83682,0.9142699999999999
609,max_user_sum_auxiliary_verbs,0.14021,0.69159,0.83743,0.91462
