,feature,r2,mae,mse,rmse
140,stdev_relative,0.16042,0.68498,0.8173,0.90363
218,max_auxiliary_verbs,0.15789,0.68536,0.81952,0.9048999999999999
10,max_negative_bert,0.15678,0.67214,0.8212299999999999,0.9057400000000001
697,max_user_sum_time_diff,0.15297,0.69042,0.8252200000000001,0.9078800000000001
413,max_user_sum_num_chars,0.15114,0.6774,0.8270799999999999,0.9088900000000001
392,sum_num_chars,0.15065,0.68455,0.8274000000000001,0.90909
409,max_user_sum_num_words,0.15033000000000002,0.68115,0.82782,0.90929
142,max_relative,0.15028999999999998,0.69967,0.82743,0.9091699999999999
391,sum_num_words,0.14910000000000004,0.68682,0.8288900000000001,0.9099400000000001
216,stdev_auxiliary_verbs,0.14887,0.6881999999999999,0.8282,0.90969
