,feature,r2,mae,mse,rmse
1121,max_user_avg_1st_person_start,0.14270000000000002,0.6509111111111111,0.9161666666666667,0.955511111111111
5,min_positive_bert,0.08768,0.6704600000000001,0.9428999999999998,0.96906
10,max_negative_bert,0.08342222222222222,0.6651333333333334,0.9788222222222223,0.9879555555555554
70,max_adverbs,0.08237000000000001,0.63561,0.9497399999999999,0.97223
8,stdev_negative_bert,0.0738,0.6542299999999999,0.96014,0.97726
12,stdev_neutral_bert,0.07341,0.6447899999999999,0.9624,0.9779800000000002
457,max_user_sum_adverbs,0.0700875,0.6571374999999999,1.0296124999999998,1.0131875
254,max_hedge_words,0.06948,0.6483099999999999,0.9648,0.9796100000000001
222,max_cognitive_mech,0.06922500000000001,0.6813499999999999,1.029875,1.0135
327,average_deference,0.05985555555555555,0.6598333333333334,1.007211111111111,1.0015
