,model,model_type,features_included,alpha,q_squared
5,Lasso(alpha=0.0054426888906309945),Lasso,Team Composition + Task Complexity,0.0054,0.2043578800347251
4,Ridge(alpha=0.0054426888906309945),Ridge,Team Composition + Task Complexity,0.0054,0.20290020076779658
10,Lasso(alpha=0.034236816750555385),Lasso,All Features,0.0342,0.1494502410966887
2,Ridge(alpha=0.0067333397907809065),Ridge,Task Complexity,0.0067,0.12019681111356617
3,Lasso(alpha=0.0067333397907809065),Lasso,Task Complexity,0.0067,0.12005589172169207
8,Lasso(alpha=0.04028348218241583),Lasso,Task Complexity + Communication,0.0403,0.08161302690258954
1,Lasso(alpha=0.0005189331802940543),Lasso,Team Composition,0.0005,0.07662863489082916
0,Ridge(alpha=0.0005189331802940543),Ridge,Team Composition,0.0005,0.0766263320310383
6,Lasso(alpha=0.05535295444371444),Lasso,Communication,0.0554,0.006365854054746878
7,Ridge(alpha=0.05535295444371444),Ridge,Communication,0.0554,-8.482850705366578
11,Ridge(alpha=0.034236816750555385),Ridge,All Features,0.0342,-8.946148090366638
9,Ridge(alpha=0.04028348218241583),Ridge,Task Complexity + Communication,0.0403,-11.110657416854755
